id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5456,8028,Sylvia,2009-02-16,"Austin, TX",within an hour,100%,95%,t,East Downtown,2,4,t,t,Austin,78702,Entire guesthouse,Entire home/apt,3,N/A,1 bath,1,2,176.00,2,90,t,4,15,39,298,630,45,3,4.84,4.88,4.85,4.89,4.82,4.73,4.79,f,2,2,0,0,3.69
5769,8186,Elizabeth,2009-02-19,"Austin, TX",within a few hours,100%,95%,t,SW Williamson Co.,1,4,t,t,Austin,78729,Private room in home,Private room,2,N/A,1 shared bath,1,1,42.00,1,14,t,0,0,0,0,275,11,0,4.9,4.9,4.86,4.91,4.94,4.76,4.92,f,1,0,1,0,1.75
6413,13879,Todd,2009-04-17,"Austin, TX",N/A,N/A,100%,t,Travis Heights,1,1,t,t,Austin,78704,Entire guesthouse,Entire home/apt,2,N/A,1 bath,N/A,1,109.00,30,90,t,0,0,0,0,122,5,0,4.97,4.99,4.99,4.99,4.98,4.87,4.93,f,1,1,0,0,0.76
6448,14156,Amy,2009-04-20,"Austin, TX",within an hour,100%,100%,t,Zilker,1,2,t,t,Austin,78704,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,2,240.00,3,365,t,10,12,12,133,295,27,1,4.97,4.97,4.96,4.99,4.97,4.97,4.9,t,1,1,0,0,2.1
8502,25298,Karen,2009-07-11,"Austin, TX",within a day,60%,70%,f,East Riverside,1,1,t,f,Austin,78741,Entire guest suite,Entire home/apt,2,N/A,1 bath,1,1,85.00,4,90,t,8,8,36,36,48,0,0,4.53,4.49,4.67,4.83,4.86,4.64,4.57,f,1,1,0,0,0.3
13035,50793,Molly,2009-11-02,"Austin, TX",within an hour,100%,94%,t,East Downtown,2,2,t,t,Austin,78702,Entire home,Entire home/apt,3,N/A,2 baths,2,2,160.00,30,180,t,0,2,32,306,17,3,0,5,4.94,4.94,5,5,5,4.94,f,2,2,0,0,0.12
18258,39458,Billy,2009-09-18,"Austin, TX",within an hour,100%,100%,f,N/A,1,4,t,t,Austin,78745,Entire bungalow,Entire home/apt,3,N/A,2 baths,3,2,171.00,3,180,t,10,30,43,134,2,2,0,5,5,5,5,5,4.5,4.5,f,1,1,0,0,0.42
22828,56488,David,2009-11-22,"Austin, TX",N/A,N/A,100%,t,East Riverside,1,1,t,t,Austin,78741,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,1,65.00,29,365,t,0,0,0,207,50,4,0,4.94,5,4.98,5,5,4.77,4.86,f,1,1,0,0,0.32
22982,89031,Gina,2010-03-06,"Austin, TX",within an hour,100%,98%,t,Clarksville,3,5,t,t,Austin,78703,Entire guesthouse,Entire home/apt,4,N/A,1 bath,2,2,350.00,1,730,t,0,5,35,124,166,2,0,4.91,4.93,4.97,4.96,4.9,4.88,4.82,f,1,1,0,0,1.05
23496,8028,Sylvia,2009-02-16,"Austin, TX",within an hour,100%,95%,t,East Downtown,2,4,t,t,Austin,78702,Entire home,Entire home/apt,6,N/A,1 bath,3,4,200.00,3,30,t,15,15,15,87,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,2,2,0,0,N/A
