id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
61878,300211,Rita,2010-11-26,"Roanoke, TX",within an hour,100%,100%,f,Oak Lawn,2,3,t,t,District 2,Dallas,Entire condo,Entire home/apt,3,1 bath,1,2,85,30,1125,t,0,0,7,282,3/7/23,52,7,0,4.76,4.84,4.69,4.92,4.94,4.82,4.84,f,1,1,0,0,0.35
776810,4096626,Eric,2012-11-08,"Seattle, WA",N/A,N/A,0%,f,Oak Lawn,1,1,t,t,District 2,Dallas,Entire loft,Entire home/apt,2,1.5 baths,1,1,75,5,1125,t,0,0,15,290,3/7/23,29,0,0,4.9,4.89,4.71,4.89,4.96,5,4.78,f,1,1,0,0,0.23
795703,4191322,Michelle,2012-11-19,"Memphis, TN",within an hour,100%,100%,t,Oak Lawn,2,4,t,t,District 14,Dallas,Entire condo,Entire home/apt,2,1 bath,1,1,243,30,365,t,0,28,58,238,3/7/23,70,1,0,4.84,4.91,4.97,4.91,4.97,4.91,4.75,f,1,1,0,0,0.57
826118,804559,Rod,2011-07-11,"Dallas, TX",within a few hours,90%,86%,f,North Central Dallas,4,4,t,f,District 12,Dallas,Private room in home,Private room,2,1 private bath,1,1,62,2,180,t,0,0,0,268,3/7/23,23,8,0,4.82,4.82,4.73,4.82,4.82,4.77,4.77,f,4,0,4,0,0.25
826178,804559,Rod,2011-07-11,"Dallas, TX",within a few hours,90%,86%,f,North Central Dallas,4,4,t,f,District 12,Dallas,Private room in home,Private room,2,1 private bath,1,2,40,2,30,t,0,0,0,158,3/7/23,23,0,0,5,5,4.91,5,5,5,5,f,4,0,4,0,0.2
826201,804559,Rod,2011-07-11,"Dallas, TX",within a few hours,90%,86%,f,North Central Dallas,4,4,t,f,District 12,Dallas,Private room in home,Private room,2,1 private bath,1,2,54,2,90,t,6,6,6,212,3/7/23,30,8,0,4.76,4.83,4.69,4.79,4.79,4.76,4.76,f,4,0,4,0,0.25
860248,4505460,Judy,2012-12-27,"Dallas, TX",within an hour,100%,89%,t,Old Lake Highlands,3,6,t,f,District 9,Dallas,Private room in home,Private room,2,1 private bath,1,1,42,7,365,t,0,7,37,37,3/7/23,67,20,1,4.82,4.85,4.8,4.93,4.93,4.91,4.82,f,3,0,3,0,0.84
1056850,5821283,Kathy,2013-04-07,"Dallas, TX",within a few hours,100%,97%,t,Oak Lawn,3,4,t,f,District 14,Dallas,Entire rental unit,Entire home/apt,2,1 bath,1,1,95,2,1125,t,29,59,89,343,3/7/23,134,11,1,4.99,5,5,4.98,5,4.96,4.97,f,3,3,0,0,1.35
1154424,6063232,Joan,2013-04-23,"Dallas, TX",within an hour,100%,100%,f,Central Dallas,11,11,t,t,District 14,Dallas,Entire rental unit,Entire home/apt,2,1 bath,1,1,92,3,1125,t,0,0,3,278,3/7/23,92,1,0,4.61,4.7,4.85,4.74,4.62,4.93,4.66,f,11,11,0,0,0.77
15237714,96828245,Chris,2016-09-26,"Dallas, TX",N/A,N/A,N/A,f,Central Dallas,1,5,t,t,District 2,Dallas,Entire rental unit,Entire home/apt,2,1 bath,1,1,215,15,150,t,11,41,71,346,3/7/23,50,0,0,4.98,4.94,4.94,4.94,4.98,4.9,4.86,f,1,1,0,0,0.64
